postcode_district,region,practice_count,total_eligible,total_vaccinated,coverage
BN16,NHS Sussex ICB,3,305,289,94.8
CO3,NHS Suffolk and North East Essex ICB,3,330,313,94.8
CW2,NHS Cheshire and Merseyside ICB,1,174,165,94.8
DH9,NHS North East and North Cumbria ICB,4,288,273,94.8
EX1,NHS Devon ICB,8,710,673,94.8
EX10,NHS Devon ICB,1,58,55,94.8
EX12,NHS Devon ICB,2,96,91,94.8
EX22,NHS Devon ICB,2,134,127,94.8
HG4,NHS Humber and North Yorkshire ICB,4,193,183,94.8
IP28,NHS Suffolk and North East Essex ICB,2,250,237,94.8
KT13,NHS Surrey Heartlands ICB,1,229,217,94.8
NE24,NHS North East and North Cumbria ICB,2,458,434,94.8
PR26,NHS Lancashire and South Cumbria ICB,2,154,146,94.8
RG14,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",3,557,528,94.8
RH19,NHS Sussex ICB,1,155,147,94.8
S36,NHS South Yorkshire ICB,4,289,274,94.8
S63,NHS South Yorkshire ICB,5,460,436,94.8
SK7,NHS Greater Manchester ICB,5,384,364,94.8
SP10,NHS Hampshire and Isle of Wight ICB,5,743,704,94.8
SY14,NHS Cheshire and Merseyside ICB,1,58,55,94.8
TR26,NHS Cornwall and the Isles of Scilly ICB,1,77,73,94.8
WV8,NHS Staffordshire and Stoke-on-Trent ICB,2,153,145,94.8
AL5,NHS Hertfordshire and West Essex ICB,3,374,355,94.9
BA5,NHS Somerset ICB,2,156,148,94.9
BB7,NHS Lancashire and South Cumbria ICB,3,333,316,94.9
BS9,"NHS Bristol, North Somerset and South Gloucestershire ICB",2,177,168,94.9
CB23,NHS Cambridgeshire and Peterborough ICB,5,356,338,94.9
CV31,NHS Coventry and Warwickshire ICB,4,390,370,94.9
CW6,NHS Cheshire and Merseyside ICB,4,177,168,94.9
GU18,NHS Frimley ICB,1,178,169,94.9
HG5,NHS Humber and North Yorkshire ICB,3,257,244,94.9
NE71,NHS North East and North Cumbria ICB,1,39,37,94.9
NR17,NHS Norfolk and Waveney ICB,1,158,150,94.9
NR18,NHS Norfolk and Waveney ICB,2,275,261,94.9
NR31,NHS Norfolk and Waveney ICB,3,454,431,94.9
OX20,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,78,74,94.9
PO8,NHS Hampshire and Isle of Wight ICB,4,354,336,94.9
RG40,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,412,391,94.9
RG41,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,156,148,94.9
S10,NHS South Yorkshire ICB,4,195,185,94.9
WA4,NHS Cheshire and Merseyside ICB,4,409,388,94.9
WR5,NHS Herefordshire and Worcestershire ICB,2,332,315,94.9
WV16,"NHS Shropshire, Telford and Wrekin ICB",2,137,130,94.9
YO61,NHS Humber and North Yorkshire ICB,3,136,129,94.9
BS31,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",2,302,287,95.0
CH48,NHS Cheshire and Merseyside ICB,1,120,114,95.0
CT5,NHS Kent and Medway ICB,1,337,320,95.0
DE11,NHS Derby and Derbyshire ICB,5,598,568,95.0
DT11,NHS Dorset ICB,2,220,209,95.0
EX2,NHS Devon ICB,2,161,153,95.0
FY8,NHS Lancashire and South Cumbria ICB,5,318,302,95.0
GL12,NHS Gloucestershire ICB,2,222,211,95.0
HU15,NHS Humber and North Yorkshire ICB,2,478,454,95.0
LN8,NHS Lincolnshire ICB,3,120,114,95.0
M46,NHS Greater Manchester ICB,4,199,189,95.0
NE33,NHS North East and North Cumbria ICB,6,422,401,95.0
NN14,NHS Northamptonshire ICB,3,342,325,95.0
NR4,NHS Norfolk and Waveney ICB,2,278,264,95.0
OX12,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,456,433,95.0
OX3,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,443,421,95.0
PL22,NHS Cornwall and the Isles of Scilly ICB,1,40,38,95.0
PO12,NHS Hampshire and Isle of Wight ICB,2,539,512,95.0
SK16,NHS Greater Manchester ICB,3,161,153,95.0
SO22,NHS Hampshire and Isle of Wight ICB,2,423,402,95.0
ST10,NHS Staffordshire and Stoke-on-Trent ICB,6,240,228,95.0
WS9,NHS Black Country ICB,5,298,283,95.0
WV11,Multiple regions,3,140,133,95.0
LN7,NHS Lincolnshire ICB,1,41,39,95.1
NE28,NHS North East and North Cumbria ICB,3,428,407,95.1
S64,NHS South Yorkshire ICB,4,409,389,95.1
SG6,NHS Hertfordshire and West Essex ICB,3,368,350,95.1
SN10,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",5,246,234,95.1
SN4,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",3,267,254,95.1
SN9,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",1,82,78,95.1
SP5,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",2,82,78,95.1
WF4,NHS West Yorkshire ICB,3,244,232,95.1
WR14,NHS Herefordshire and Worcestershire ICB,4,263,250,95.1
BL2,NHS Greater Manchester ICB,5,392,373,95.2
CB6,NHS Cambridgeshire and Peterborough ICB,4,373,355,95.2
CV22,NHS Coventry and Warwickshire ICB,1,63,60,95.2
DE4,NHS Derby and Derbyshire ICB,5,250,238,95.2
DE55,NHS Derby and Derbyshire ICB,6,668,636,95.2
DE73,NHS Derby and Derbyshire ICB,2,356,339,95.2
DY10,NHS Herefordshire and Worcestershire ICB,4,333,317,95.2
GL7,NHS Gloucestershire ICB,5,501,477,95.2
GU19,NHS Frimley ICB,1,63,60,95.2
HU16,NHS Humber and North Yorkshire ICB,1,42,40,95.2
LA15,NHS Lancashire and South Cumbria ICB,1,83,79,95.2
LS26,NHS West Yorkshire ICB,2,456,434,95.2
NE34,NHS North East and North Cumbria ICB,4,518,493,95.2
NE49,NHS North East and North Cumbria ICB,1,42,40,95.2
NE61,NHS North East and North Cumbria ICB,5,609,580,95.2
PE38,NHS Norfolk and Waveney ICB,3,168,160,95.2
PL19,NHS Devon ICB,2,168,160,95.2
RH13,NHS Sussex ICB,2,145,138,95.2
SG8,NHS Cambridgeshire and Peterborough ICB,2,166,158,95.2
TN25,NHS Kent and Medway ICB,2,145,138,95.2
CO9,NHS Mid and South Essex ICB,2,236,225,95.3
CV7,Multiple regions,2,149,142,95.3
DN6,NHS South Yorkshire ICB,3,365,348,95.3
EX14,NHS Devon ICB,1,148,141,95.3
GU1,NHS Surrey Heartlands ICB,3,233,222,95.3
GU52,NHS Frimley ICB,1,128,122,95.3
HD7,NHS West Yorkshire ICB,3,255,243,95.3
HD8,NHS West Yorkshire ICB,5,279,266,95.3
M29,NHS Greater Manchester ICB,7,450,429,95.3
M44,NHS Greater Manchester ICB,3,236,225,95.3
NN7,NHS Northamptonshire ICB,4,471,449,95.3
OL15,NHS Greater Manchester ICB,4,172,164,95.3
PO14,NHS Hampshire and Isle of Wight ICB,1,86,82,95.3
PO16,NHS Hampshire and Isle of Wight ICB,3,295,281,95.3
RG29,NHS Hampshire and Isle of Wight ICB,1,107,102,95.3
SK11,NHS Cheshire and Merseyside ICB,7,537,512,95.3
SN12,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",2,301,287,95.3
SO51,NHS Hampshire and Isle of Wight ICB,2,255,243,95.3
SP3,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",2,43,41,95.3
TS11,NHS North East and North Cumbria ICB,1,43,41,95.3
BA20,NHS Somerset ICB,3,347,331,95.4
BD16,NHS West Yorkshire ICB,3,197,188,95.4
GU12,NHS Frimley ICB,1,151,144,95.4
IP17,NHS Suffolk and North East Essex ICB,1,87,83,95.4
LE12,Multiple regions,11,870,830,95.4
LE15,Multiple regions,5,351,335,95.4
LE6,"NHS Leicester, Leicestershire and Rutland ICB",2,108,103,95.4
NE1,NHS North East and North Cumbria ICB,2,219,209,95.4
NE22,NHS North East and North Cumbria ICB,2,175,167,95.4
OX1,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",3,151,144,95.4
PL5,NHS Devon ICB,4,570,544,95.4
RH2,NHS Surrey Heartlands ICB,1,217,207,95.4
S81,NHS Nottingham and Nottinghamshire ICB,1,329,314,95.4
SK6,NHS Greater Manchester ICB,9,523,499,95.4
TW17,NHS Surrey Heartlands ICB,2,130,124,95.4
WA11,NHS Cheshire and Merseyside ICB,4,260,248,95.4
WR9,NHS Herefordshire and Worcestershire ICB,4,392,374,95.4
B80,NHS Coventry and Warwickshire ICB,1,67,64,95.5
BD15,NHS West Yorkshire ICB,1,89,85,95.5
DN35,NHS Humber and North Yorkshire ICB,3,269,257,95.5
DY8,NHS Black Country ICB,3,424,405,95.5
ME14,NHS Kent and Medway ICB,2,220,210,95.5
NE62,NHS North East and North Cumbria ICB,1,66,63,95.5
NR28,NHS Norfolk and Waveney ICB,2,134,128,95.5
SW1X,NHS North West London ICB,1,67,64,95.5
TR5,NHS Cornwall and the Isles of Scilly ICB,1,67,64,95.5
BH6,NHS Dorset ICB,3,228,218,95.6
CH46,NHS Cheshire and Merseyside ICB,5,274,262,95.6
GU17,NHS Frimley ICB,1,296,283,95.6
HP27,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,363,347,95.6
IP5,NHS Suffolk and North East Essex ICB,2,90,86,95.6
LS24,NHS Humber and North Yorkshire ICB,1,90,86,95.6
NG34,NHS Lincolnshire ICB,4,321,307,95.6
PE32,NHS Norfolk and Waveney ICB,3,91,87,95.6
PR3,NHS Lancashire and South Cumbria ICB,4,456,436,95.6
TA10,NHS Somerset ICB,1,91,87,95.6
WF7,NHS West Yorkshire ICB,3,272,260,95.6
YO42,NHS Humber and North Yorkshire ICB,1,180,172,95.6
B95,NHS Coventry and Warwickshire ICB,1,47,45,95.7
BS22,"NHS Bristol, North Somerset and South Gloucestershire ICB",2,209,200,95.7
CA28,NHS North East and North Cumbria ICB,2,161,154,95.7
CB22,NHS Cambridgeshire and Peterborough ICB,2,559,535,95.7
CO13,NHS Suffolk and North East Essex ICB,1,47,45,95.7
DE7,NHS Derby and Derbyshire ICB,7,621,594,95.7
DL15,NHS North East and North Cumbria ICB,2,185,177,95.7
GU7,NHS Surrey Heartlands ICB,2,282,270,95.7
IP32,NHS Suffolk and North East Essex ICB,1,162,155,95.7
LE67,"NHS Leicester, Leicestershire and Rutland ICB",8,682,653,95.7
MK18,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,231,221,95.7
NE2,NHS North East and North Cumbria ICB,1,208,199,95.7
NE43,NHS North East and North Cumbria ICB,1,23,22,95.7
NE48,NHS North East and North Cumbria ICB,1,23,22,95.7
NG10,NHS Derby and Derbyshire ICB,5,394,377,95.7
RG9,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",3,184,176,95.7
SG18,"NHS Bedfordshire, Luton and Milton Keynes ICB",2,398,381,95.7
SK22,NHS Derby and Derbyshire ICB,2,115,110,95.7
TS27,NHS North East and North Cumbria ICB,1,92,88,95.7
YO26,NHS Humber and North Yorkshire ICB,1,70,67,95.7
BS27,NHS Somerset ICB,1,72,69,95.8
HX4,NHS West Yorkshire ICB,1,96,92,95.8
LN10,NHS Lincolnshire ICB,2,48,46,95.8
LN2,NHS Lincolnshire ICB,6,478,458,95.8
LS21,NHS West Yorkshire ICB,2,216,207,95.8
PL6,NHS Devon ICB,3,212,203,95.8
PO17,NHS Hampshire and Isle of Wight ICB,1,120,115,95.8
SP2,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",3,408,391,95.8
SR7,NHS North East and North Cumbria ICB,4,260,249,95.8
SS6,NHS Mid and South Essex ICB,3,261,250,95.8
WR6,NHS Herefordshire and Worcestershire ICB,2,72,69,95.8
B93,NHS Birmingham and Solihull ICB,2,122,117,95.9
CA11,NHS North East and North Cumbria ICB,2,194,186,95.9
CB11,NHS Hertfordshire and West Essex ICB,2,219,210,95.9
CH47,NHS Cheshire and Merseyside ICB,1,49,47,95.9
CW9,NHS Cheshire and Merseyside ICB,4,391,375,95.9
DE56,NHS Derby and Derbyshire ICB,3,268,257,95.9
GL18,NHS Gloucestershire ICB,1,122,117,95.9
IP12,NHS Suffolk and North East Essex ICB,3,196,188,95.9
NE9,NHS North East and North Cumbria ICB,4,314,301,95.9
OX10,Multiple regions,4,295,283,95.9
RG10,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,171,164,95.9
RH12,NHS Sussex ICB,6,701,672,95.9
S25,NHS South Yorkshire ICB,1,193,185,95.9
S35,NHS South Yorkshire ICB,5,339,325,95.9
SO31,NHS Hampshire and Isle of Wight ICB,3,389,373,95.9
TN28,NHS Kent and Medway ICB,2,73,70,95.9
WA5,NHS Cheshire and Merseyside ICB,5,435,417,95.9
BS30,"NHS Bristol, North Somerset and South Gloucestershire ICB",3,300,288,96.0
DY6,NHS Black Country ICB,4,377,362,96.0
IP11,NHS Suffolk and North East Essex ICB,3,250,240,96.0
IP14,NHS Suffolk and North East Essex ICB,4,429,412,96.0
NE13,NHS North East and North Cumbria ICB,2,151,145,96.0
NR19,NHS Norfolk and Waveney ICB,3,201,193,96.0
OX5,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",3,202,194,96.0
RG7,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",4,448,430,96.0
S71,NHS South Yorkshire ICB,6,322,309,96.0
SY3,"NHS Shropshire, Telford and Wrekin ICB",5,349,335,96.0
TF11,"NHS Shropshire, Telford and Wrekin ICB",1,177,170,96.0
TN26,NHS Kent and Medway ICB,2,126,121,96.0
WS6,NHS Staffordshire and Stoke-on-Trent ICB,4,224,215,96.0
YO18,NHS Humber and North Yorkshire ICB,1,75,72,96.0
B78,NHS Coventry and Warwickshire ICB,2,207,199,96.1
CB2,NHS Cambridgeshire and Peterborough ICB,4,337,324,96.1
CH3,NHS Cheshire and Merseyside ICB,2,129,124,96.1
CO5,Multiple regions,4,281,270,96.1
NE10,NHS North East and North Cumbria ICB,4,254,244,96.1
PO32,NHS Hampshire and Isle of Wight ICB,1,77,74,96.1
PR6,NHS Lancashire and South Cumbria ICB,5,311,299,96.1
RG17,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",3,178,171,96.1
RG8,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,181,174,96.1
RH7,NHS Surrey Heartlands ICB,1,103,99,96.1
WR2,NHS Herefordshire and Worcestershire ICB,2,311,299,96.1
BS20,"NHS Bristol, North Somerset and South Gloucestershire ICB",3,260,250,96.2
CA12,NHS North East and North Cumbria ICB,1,53,51,96.2
CV34,NHS Coventry and Warwickshire ICB,4,532,512,96.2
DT4,NHS Dorset ICB,4,417,401,96.2
GU11,NHS Frimley ICB,3,470,452,96.2
HR8,NHS Herefordshire and Worcestershire ICB,1,80,77,96.2
IP13,NHS Suffolk and North East Essex ICB,2,133,128,96.2
IP6,NHS Suffolk and North East Essex ICB,1,131,126,96.2
LE14,"NHS Leicester, Leicestershire and Rutland ICB",1,78,75,96.2
NE12,NHS North East and North Cumbria ICB,4,371,357,96.2
OX9,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,132,127,96.2
S21,NHS Derby and Derbyshire ICB,3,209,201,96.2
ST8,NHS Staffordshire and Stoke-on-Trent ICB,2,159,153,96.2
SY4,"NHS Shropshire, Telford and Wrekin ICB",4,239,230,96.2
TA22,NHS Somerset ICB,1,26,25,96.2
TR6,NHS Cornwall and the Isles of Scilly ICB,1,52,50,96.2
BS21,"NHS Bristol, North Somerset and South Gloucestershire ICB",1,136,131,96.3
CA13,NHS North East and North Cumbria ICB,1,107,103,96.3
CO11,NHS Suffolk and North East Essex ICB,2,108,104,96.3
DL8,NHS Humber and North Yorkshire ICB,3,136,131,96.3
GL20,Multiple regions,3,295,284,96.3
GU28,NHS Sussex ICB,1,54,52,96.3
GU32,NHS Hampshire and Isle of Wight ICB,2,296,285,96.3
IP7,NHS Suffolk and North East Essex ICB,2,188,181,96.3
L40,NHS Lancashire and South Cumbria ICB,3,109,105,96.3
NE23,NHS North East and North Cumbria ICB,4,268,258,96.3
NG14,NHS Nottingham and Nottinghamshire ICB,2,136,131,96.3
NR29,NHS Norfolk and Waveney ICB,3,136,131,96.3
PE10,NHS Lincolnshire ICB,2,246,237,96.3
PE8,NHS Cambridgeshire and Peterborough ICB,2,108,104,96.3
PL2,NHS Devon ICB,3,347,334,96.3
PL7,NHS Devon ICB,2,619,596,96.3
TN29,NHS Kent and Medway ICB,1,27,26,96.3
TS15,NHS North East and North Cumbria ICB,1,109,105,96.3
YO32,NHS Humber and North Yorkshire ICB,2,382,368,96.3
CH63,NHS Cheshire and Merseyside ICB,5,225,217,96.4
KT10,NHS Surrey Heartlands ICB,4,276,266,96.4
LA9,NHS Lancashire and South Cumbria ICB,3,280,270,96.4
NE32,NHS North East and North Cumbria ICB,4,193,186,96.4
NG23,Multiple regions,3,137,132,96.4
PL17,NHS Cornwall and the Isles of Scilly ICB,1,110,106,96.4
DN34,NHS Humber and North Yorkshire ICB,4,373,360,96.5
EX36,NHS Devon ICB,1,85,82,96.5
EX8,NHS Devon ICB,3,258,249,96.5
IP33,NHS Suffolk and North East Essex ICB,4,431,416,96.5
LA2,NHS Lancashire and South Cumbria ICB,1,57,55,96.5
MK46,"NHS Bedfordshire, Luton and Milton Keynes ICB",1,57,55,96.5
NG12,NHS Nottingham and Nottinghamshire ICB,2,289,279,96.5
PO15,NHS Hampshire and Isle of Wight ICB,2,462,446,96.5
S18,NHS Derby and Derbyshire ICB,3,142,137,96.5
S40,NHS Derby and Derbyshire ICB,5,715,690,96.5
S41,NHS Derby and Derbyshire ICB,2,173,167,96.5
S73,NHS South Yorkshire ICB,3,317,306,96.5
SK10,NHS Cheshire and Merseyside ICB,1,258,249,96.5
CA22,NHS North East and North Cumbria ICB,2,265,256,96.6
CA8,NHS North East and North Cumbria ICB,1,116,112,96.6
DH8,NHS North East and North Cumbria ICB,3,297,287,96.6
LA10,NHS Lancashire and South Cumbria ICB,1,29,28,96.6
LA12,NHS Lancashire and South Cumbria ICB,3,147,142,96.6
LA13,NHS Lancashire and South Cumbria ICB,1,89,86,96.6
M33,NHS Greater Manchester ICB,5,557,538,96.6
NE16,NHS North East and North Cumbria ICB,3,203,196,96.6
NE38,NHS North East and North Cumbria ICB,4,205,198,96.6
S66,NHS South Yorkshire ICB,6,414,400,96.6
YO7,NHS Humber and North Yorkshire ICB,3,176,170,96.6
AL8,NHS Hertfordshire and West Essex ICB,1,152,147,96.7
BD17,NHS West Yorkshire ICB,1,61,59,96.7
DH7,NHS North East and North Cumbria ICB,6,545,527,96.7
DN18,NHS Humber and North Yorkshire ICB,2,151,146,96.7
GU51,NHS Frimley ICB,1,214,207,96.7
HR7,NHS Herefordshire and Worcestershire ICB,1,61,59,96.7
HU17,NHS Humber and North Yorkshire ICB,5,518,501,96.7
LE7,"NHS Leicester, Leicestershire and Rutland ICB",4,337,326,96.7
NE42,NHS North East and North Cumbria ICB,3,121,117,96.7
NR7,NHS Norfolk and Waveney ICB,2,212,205,96.7
SN15,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",2,246,238,96.7
SP4,Multiple regions,4,300,290,96.7
WA14,NHS Greater Manchester ICB,5,363,351,96.7
WR8,NHS Herefordshire and Worcestershire ICB,1,92,89,96.7
DE65,NHS Derby and Derbyshire ICB,2,218,211,96.8
IP19,NHS Norfolk and Waveney ICB,1,63,61,96.8
LS5,NHS West Yorkshire ICB,2,125,121,96.8
NE25,NHS North East and North Cumbria ICB,3,155,150,96.8
NN29,NHS Northamptonshire ICB,1,31,30,96.8
PE23,NHS Lincolnshire ICB,1,62,60,96.8
S7,NHS South Yorkshire ICB,1,125,121,96.8
HP15,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,65,63,96.9
KT24,NHS Surrey Heartlands ICB,1,65,63,96.9
NE29,NHS North East and North Cumbria ICB,4,516,500,96.9
PE19,NHS Cambridgeshire and Peterborough ICB,5,489,474,96.9
PL3,NHS Devon ICB,1,65,63,96.9
S12,NHS South Yorkshire ICB,4,228,221,96.9
SK17,NHS Derby and Derbyshire ICB,4,257,249,96.9
TS14,NHS North East and North Cumbria ICB,2,162,157,96.9
CA16,NHS North East and North Cumbria ICB,1,33,32,97.0
EX20,NHS Devon ICB,1,134,130,97.0
GL53,NHS Gloucestershire ICB,1,101,98,97.0
IP22,Multiple regions,3,169,164,97.0
OX11,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",3,604,586,97.0
RG18,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,169,164,97.0
RG19,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,101,98,97.0
S33,NHS Derby and Derbyshire ICB,1,33,32,97.0
S74,NHS South Yorkshire ICB,2,230,223,97.0
SO42,NHS Hampshire and Isle of Wight ICB,1,33,32,97.0
TA20,NHS Somerset ICB,1,133,129,97.0
TF10,"NHS Shropshire, Telford and Wrekin ICB",2,202,196,97.0
TQ14,NHS Devon ICB,2,134,130,97.0
TR3,NHS Cornwall and the Isles of Scilly ICB,1,33,32,97.0
WN4,Multiple regions,5,269,261,97.0
BN12,NHS Sussex ICB,2,138,134,97.1
CW3,Multiple regions,3,104,101,97.1
CW4,NHS Cheshire and Merseyside ICB,1,103,100,97.1
DL16,NHS North East and North Cumbria ICB,2,242,235,97.1
NE35,NHS North East and North Cumbria ICB,2,102,99,97.1
OX14,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",5,621,603,97.1
OX28,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",3,409,397,97.1
PE31,NHS Norfolk and Waveney ICB,2,68,66,97.1
S72,NHS South Yorkshire ICB,4,278,270,97.1
SR1,NHS North East and North Cumbria ICB,3,139,135,97.1
BS39,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",1,106,103,97.2
BS48,"NHS Bristol, North Somerset and South Gloucestershire ICB",1,252,245,97.2
CA7,NHS North East and North Cumbria ICB,5,214,208,97.2
CB25,NHS Cambridgeshire and Peterborough ICB,3,215,209,97.2
EX23,NHS Cornwall and the Isles of Scilly ICB,2,107,104,97.2
NE65,NHS North East and North Cumbria ICB,2,109,106,97.2
OX15,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",3,179,174,97.2
SR6,NHS North East and North Cumbria ICB,4,214,208,97.2
TQ8,NHS Devon ICB,1,36,35,97.2
WF2,NHS West Yorkshire ICB,4,398,387,97.2
WF5,NHS West Yorkshire ICB,1,178,173,97.2
WN6,NHS Greater Manchester ICB,4,457,444,97.2
CA20,NHS North East and North Cumbria ICB,1,38,37,97.4
CV47,NHS Coventry and Warwickshire ICB,3,230,224,97.4
CV8,NHS Coventry and Warwickshire ICB,3,233,227,97.4
DT5,NHS Dorset ICB,1,76,74,97.4
LE65,"NHS Leicester, Leicestershire and Rutland ICB",1,154,150,97.4
NE26,NHS North East and North Cumbria ICB,2,192,187,97.4
S42,NHS Derby and Derbyshire ICB,3,153,149,97.4
SO53,NHS Hampshire and Isle of Wight ICB,2,231,225,97.4
YO25,NHS Humber and North Yorkshire ICB,2,191,186,97.4
CA14,NHS North East and North Cumbria ICB,2,357,348,97.5
NE27,NHS North East and North Cumbria ICB,1,122,119,97.5
NR13,NHS Norfolk and Waveney ICB,3,198,193,97.5
S45,NHS Derby and Derbyshire ICB,3,201,196,97.5
SN7,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,200,195,97.5
SR5,NHS North East and North Cumbria ICB,3,197,192,97.5
ST14,NHS Staffordshire and Stoke-on-Trent ICB,3,199,194,97.5
ST7,Multiple regions,7,523,510,97.5
SY2,"NHS Shropshire, Telford and Wrekin ICB",2,160,156,97.5
SY8,"NHS Shropshire, Telford and Wrekin ICB",2,120,117,97.5
B61,NHS Herefordshire and Worcestershire ICB,4,415,405,97.6
CA17,NHS North East and North Cumbria ICB,1,42,41,97.6
CA2,NHS North East and North Cumbria ICB,1,164,160,97.6
EX5,NHS Devon ICB,3,169,165,97.6
GL17,NHS Gloucestershire ICB,2,83,81,97.6
GU29,NHS Sussex ICB,1,83,81,97.6
HU10,NHS Humber and North Yorkshire ICB,1,41,40,97.6
IP16,NHS Suffolk and North East Essex ICB,1,84,82,97.6
LA6,NHS Lancashire and South Cumbria ICB,1,41,40,97.6
LS29,NHS West Yorkshire ICB,4,205,200,97.6
NE40,NHS North East and North Cumbria ICB,1,170,166,97.6
NR12,NHS Norfolk and Waveney ICB,3,170,166,97.6
PL23,NHS Cornwall and the Isles of Scilly ICB,1,41,40,97.6
S26,NHS South Yorkshire ICB,2,253,247,97.6
SK23,NHS Derby and Derbyshire ICB,2,127,124,97.6
SO45,NHS Hampshire and Isle of Wight ICB,3,328,320,97.6
YO19,NHS Humber and North Yorkshire ICB,1,42,41,97.6
BA15,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",1,130,127,97.7
DH2,NHS North East and North Cumbria ICB,3,218,213,97.7
GL15,NHS Gloucestershire ICB,4,216,211,97.7
GU10,NHS Frimley ICB,3,218,213,97.7
HR5,NHS Herefordshire and Worcestershire ICB,1,44,43,97.7
HR9,NHS Herefordshire and Worcestershire ICB,2,133,130,97.7
TS21,NHS North East and North Cumbria ICB,2,171,167,97.7
WR7,NHS Herefordshire and Worcestershire ICB,1,44,43,97.7
EX11,NHS Devon ICB,1,90,88,97.8
GL11,NHS Gloucestershire ICB,2,178,174,97.8
LA5,NHS Lancashire and South Cumbria ICB,1,139,136,97.8
LS20,NHS West Yorkshire ICB,1,89,87,97.8
SR3,NHS North East and North Cumbria ICB,5,368,360,97.8
SY9,"NHS Shropshire, Telford and Wrekin ICB",1,45,44,97.8
WR3,NHS Herefordshire and Worcestershire ICB,1,134,131,97.8
BA16,NHS Somerset ICB,1,94,92,97.9
DH4,NHS North East and North Cumbria ICB,6,422,413,97.9
DL12,NHS North East and North Cumbria ICB,2,95,93,97.9
IP20,NHS Norfolk and Waveney ICB,1,48,47,97.9
NE37,NHS North East and North Cumbria ICB,3,193,189,97.9
NE45,NHS North East and North Cumbria ICB,1,48,47,97.9
OX18,Multiple regions,4,336,329,97.9
PL9,NHS Devon ICB,3,187,183,97.9
SG4,NHS Hertfordshire and West Essex ICB,2,144,141,97.9
SN16,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",2,145,142,97.9
ST13,NHS Staffordshire and Stoke-on-Trent ICB,3,195,191,97.9
TQ10,NHS Devon ICB,1,48,47,97.9
TS8,NHS North East and North Cumbria ICB,2,193,189,97.9
CV33,NHS Coventry and Warwickshire ICB,1,51,50,98.0
CW12,NHS Cheshire and Merseyside ICB,3,358,351,98.0
SG16,"NHS Bedfordshire, Luton and Milton Keynes ICB",1,98,96,98.0
YO23,NHS Humber and North Yorkshire ICB,1,49,48,98.0
YO62,NHS Humber and North Yorkshire ICB,3,98,96,98.0
CT18,NHS Kent and Medway ICB,2,52,51,98.1
DH1,NHS North East and North Cumbria ICB,4,264,259,98.1
IP23,NHS Suffolk and North East Essex ICB,1,53,52,98.1
NE21,NHS North East and North Cumbria ICB,3,156,153,98.1
TA5,NHS Somerset ICB,2,54,53,98.1
DL4,NHS North East and North Cumbria ICB,1,55,54,98.2
NR9,NHS Norfolk and Waveney ICB,1,55,54,98.2
SG7,NHS Hertfordshire and West Essex ICB,2,168,165,98.2
WV7,"NHS Shropshire, Telford and Wrekin ICB",1,55,54,98.2
DE6,NHS Derby and Derbyshire ICB,3,175,172,98.3
LA23,NHS Lancashire and South Cumbria ICB,2,59,58,98.3
LS19,NHS West Yorkshire ICB,3,242,238,98.3
SO32,NHS Hampshire and Isle of Wight ICB,1,118,116,98.3
TS16,NHS North East and North Cumbria ICB,1,121,119,98.3
CO14,NHS Suffolk and North East Essex ICB,1,64,63,98.4
