postcode_district,region,practice_count,total_eligible,total_vaccinated,coverage
LS11,NHS West Yorkshire ICB,4,556,476,85.6
TS5,NHS North East and North Cumbria ICB,4,527,451,85.6
W4,NHS North West London ICB,8,457,391,85.6
IG10,NHS Hertfordshire and West Essex ICB,3,399,342,85.7
L38,NHS Cheshire and Merseyside ICB,1,14,12,85.7
LN5,Multiple regions,5,476,408,85.7
LU3,"NHS Bedfordshire, Luton and Milton Keynes ICB",7,873,748,85.7
TN34,NHS Sussex ICB,3,490,420,85.7
TS4,NHS North East and North Cumbria ICB,1,84,72,85.7
WC1E,NHS North Central London ICB,1,14,12,85.7
WV2,NHS Black Country ICB,2,519,445,85.7
BR4,NHS South East London ICB,3,162,139,85.8
DE1,NHS Derby and Derbyshire ICB,6,830,712,85.8
EN10,NHS Hertfordshire and West Essex ICB,2,246,211,85.8
N21,NHS North Central London ICB,3,359,308,85.8
HD2,NHS West Yorkshire ICB,5,419,360,85.9
RM13,NHS North East London ICB,5,397,341,85.9
SM2,NHS South West London ICB,1,71,61,85.9
DA12,NHS Kent and Medway ICB,4,399,343,86.0
EN6,NHS Hertfordshire and West Essex ICB,4,371,319,86.0
RM15,NHS Mid and South Essex ICB,5,421,362,86.0
B44,NHS Birmingham and Solihull ICB,7,490,422,86.1
DA7,NHS South East London ICB,4,533,459,86.1
CO15,NHS Suffolk and North East Essex ICB,6,557,480,86.2
DN21,Multiple regions,4,347,299,86.2
E12,NHS North East London ICB,7,679,585,86.2
HU6,NHS Humber and North Yorkshire ICB,2,203,175,86.2
IG2,NHS North East London ICB,7,607,523,86.2
M32,NHS Greater Manchester ICB,3,383,330,86.2
M34,NHS Greater Manchester ICB,3,326,281,86.2
N3,NHS North Central London ICB,6,420,362,86.2
NG5,NHS Nottingham and Nottinghamshire ICB,11,897,773,86.2
SK14,NHS Greater Manchester ICB,7,645,556,86.2
IG9,NHS Hertfordshire and West Essex ICB,3,183,158,86.3
L15,NHS Cheshire and Merseyside ICB,4,336,290,86.3
M4,NHS Greater Manchester ICB,2,117,101,86.3
M6,NHS Greater Manchester ICB,8,691,596,86.3
OL4,NHS Greater Manchester ICB,7,816,704,86.3
SO14,NHS Hampshire and Isle of Wight ICB,2,329,284,86.3
TN37,NHS Sussex ICB,1,161,139,86.3
CH42,NHS Cheshire and Merseyside ICB,3,317,274,86.4
GU6,NHS Surrey Heartlands ICB,1,169,146,86.4
NN17,NHS Northamptonshire ICB,2,530,458,86.4
PE2,NHS Cambridgeshire and Peterborough ICB,4,447,386,86.4
RG45,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,81,70,86.4
